Date,Close_HFQ,Adj_Factor,Split_Day
2020-01-01,100.61,1.0000,0
2020-01-02,100.21,1.0000,0
2020-01-03,106.04,1.0000,0
2020-01-04,108.56,1.0000,0
2020-01-05,104.78,1.0000,0
2020-01-06,107.90,1.0000,0
2020-01-07,112.37,1.0000,0
2020-01-08,112.86,1.0000,0
2020-01-09,114.59,1.0000,0
2020-01-10,113.79,1.0000,0
2020-01-11,117.89,1.0000,0
2020-01-12,118.09,1.0000,0
2020-01-13,116.86,1.0000,0
2020-01-14,119.01,1.0000,0
2020-01-15,117.57,1.0000,0
2020-01-16,114.70,1.0000,0
2020-01-17,116.88,1.0000,0
2020-01-18,113.94,1.0000,0
2020-01-19,117.36,1.0000,0
2020-01-20,115.32,1.0000,0
2020-01-21,114.97,1.0000,0
2020-01-22,114.02,1.0000,0
2020-01-23,118.02,1.0000,0
2020-01-24,115.61,1.0000,0
2020-01-25,115.56,1.0000,0
2020-01-26,116.36,1.0000,0
2020-01-27,118.91,1.0000,0
2020-01-28,119.45,1.0000,0
2020-01-29,120.49,1.0000,0
2020-01-30,121.51,1.0000,0
